AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,AtomicRadius,Electronegativity,Colour
0,Xium,X,1.007,0,1,1,1,1,1,2.2,pink
1,Hydrogen,H,1.007,0,1,1,1,1,0.79,2.2,white
2,Helium,He,4.002,2,2,2,1,18,0.49,,cyan
3,Lithium,Li,6.941,4,3,3,2,1,2.1,0.98,violet
4,Beryllium,Be,9.012,5,4,4,2,2,1.4,1.57,darkgreen
5,Boron,B,10.811,6,5,5,2,13,1.2,2.04,beige
6,Carbon,C,12.011,6,6,6,2,14,0.91,2.55,black
7,Nitrogen,N,14.007,7,7,7,2,15,0.75,3.04,blue
8,Oxygen,O,15.999,8,8,8,2,16,0.65,3.44,red
9,Fluorine,F,18.998,10,9,9,2,17,0.57,3.98,green
10,Neon,Ne,20.18,10,10,10,2,18,0.51,,cyan
11,Sodium,Na,22.99,12,11,11,3,1,2.2,0.93,violet
12,Magnesium,Mg,24.305,12,12,12,3,2,1.7,1.31,darkgreen
13,Aluminum,Al,26.982,14,13,13,3,13,1.8,1.61,silver
14,Silicon,Si,28.086,14,14,14,3,14,1.5,1.9,
15,Phosphorus,P,30.974,16,15,15,3,15,1.2,2.19,orange
16,Sulfur,S,32.065,16,16,16,3,16,1.1,2.58,yellow
17,Chlorine,Cl,35.453,18,17,17,3,17,0.97,3.16,green
18,Argon,Ar,39.948,22,18,18,3,18,0.88,,cyan
19,Potassium,K,39.098,20,19,19,4,1,2.8,0.82,violet
20,Calcium,Ca,40.078,20,20,20,4,2,2.2,1,darkgreen
21,Scandium,Sc,44.956,24,21,21,4,3,2.1,1.36,
22,Titanium,Ti,47.867,26,22,22,4,4,2,1.54,grey
23,Vanadium,V,50.942,28,23,23,4,5,1.9,1.63,
24,Chromium,Cr,51.996,28,24,24,4,6,1.9,1.66,
25,Manganese,Mn,54.938,30,25,25,4,7,1.8,1.55,
26,Iron,Fe,55.845,30,26,26,4,8,1.7,1.83,darkorange
27,Cobalt,Co,58.933,32,27,27,4,9,1.7,1.88,
28,Nickel,Ni,58.693,31,28,28,4,10,1.6,1.91,
29,Copper,Cu,63.546,35,29,29,4,11,1.6,1.9,
30,Zinc,Zn,65.38,35,30,30,4,12,1.5,1.65,
31,Gallium,Ga,69.723,39,31,31,4,13,1.8,1.81,
32,Germanium,Ge,72.64,41,32,32,4,14,1.5,2.01,
33,Arsenic,As,74.922,42,33,33,4,15,1.3,2.18,
34,Selenium,Se,78.96,45,34,34,4,16,1.2,2.55,
35,Bromine,Br,79.904,45,35,35,4,17,1.1,2.96,darkred
36,Krypton,Kr,83.798,48,36,36,4,18,1,,cyan
37,Rubidium,Rb,85.468,48,37,37,5,1,3,0.82,violet
38,Strontium,Sr,87.62,50,38,38,5,2,2.5,0.95,darkgreen
39,Yttrium,Y,88.906,50,39,39,5,3,2.3,1.22,
40,Zirconium,Zr,91.224,51,40,40,5,4,2.2,1.33,
41,Niobium,Nb,92.906,52,41,41,5,5,2.1,1.6,
42,Molybdenum,Mo,95.96,54,42,42,5,6,2,2.16,
43,Technetium,Tc,98,55,43,43,5,7,2,1.9,
44,Ruthenium,Ru,101.07,57,44,44,5,8,1.9,2.2,
45,Rhodium,Rh,102.906,58,45,45,5,9,1.8,2.28,
46,Palladium,Pd,106.42,60,46,46,5,10,1.8,2.2,
47,Silver,Ag,107.868,61,47,47,5,11,1.8,1.93,silver
48,Cadmium,Cd,112.411,64,48,48,5,12,1.7,1.69,
49,Indium,In,114.818,66,49,49,5,13,2,1.78,
50,Tin,Sn,118.71,69,50,50,5,14,1.7,1.96,
51,Antimony,Sb,121.76,71,51,51,5,15,1.5,2.05,
52,Tellurium,Te,127.6,76,52,52,5,16,1.4,2.1,
53,Iodine,I,126.904,74,53,53,5,17,1.3,2.66,darkviolet
54,Xenon,Xe,131.293,77,54,54,5,18,1.2,,cyan
55,Caesium,Cs,132.905,78,55,55,6,1,3.3,0.79,violet
56,Barium,Ba,137.327,81,56,56,6,2,2.8,0.89,darkgreen
57,Lanthanum,La,138.905,82,57,57,6,3,2.7,1.1,
58,Cerium,Ce,140.116,82,58,58,6,,2.7,1.12,
59,Praseodymium,Pr,140.908,82,59,59,6,,2.7,1.13,
60,Neodymium,Nd,144.242,84,60,60,6,,2.6,1.14,
61,Promethium,Pm,145,84,61,61,6,,2.6,1.13,
62,Samarium,Sm,150.36,88,62,62,6,,2.6,1.17,
63,Europium,Eu,151.964,89,63,63,6,,2.6,1.2,
64,Gadolinium,Gd,157.25,93,64,64,6,,2.5,1.2,
65,Terbium,Tb,158.925,94,65,65,6,,2.5,1.2,
66,Dysprosium,Dy,162.5,97,66,66,6,,2.5,1.22,
67,Holmium,Ho,164.93,98,67,67,6,,2.5,1.23,
68,Erbium,Er,167.259,99,68,68,6,,2.5,1.24,
69,Thulium,Tm,168.934,100,69,69,6,,2.4,1.25,
70,Ytterbium,Yb,173.054,103,70,70,6,,2.4,1.1,
71,Lutetium,Lu,174.967,104,71,71,6,,2.3,1.27,
72,Hafnium,Hf,178.49,106,72,72,6,4,2.2,1.3,
73,Tantalum,Ta,180.948,108,73,73,6,5,2.1,1.5,
74,Wolfram,W,183.84,110,74,74,6,6,2,2.36,
75,Rhenium,Re,186.207,111,75,75,6,7,2,1.9,
76,Osmium,Os,190.23,114,76,76,6,8,1.9,2.2,
77,Iridium,Ir,192.217,115,77,77,6,9,1.9,2.2,
78,Platinum,Pt,195.084,117,78,78,6,10,1.8,2.28,
79,Gold,Au,196.967,118,79,79,6,11,1.8,2.54,gold
80,Mercury,Hg,200.59,121,80,80,6,12,1.8,2,
81,Thallium,Tl,204.383,123,81,81,6,13,2.1,2.04,
82,Lead,Pb,207.2,125,82,82,6,14,1.8,2.33,
83,Bismuth,Bi,208.98,126,83,83,6,15,1.6,2.02,
84,Polonium,Po,210,126,84,84,6,16,1.5,2,
85,Astatine,At,210,125,85,85,6,17,1.4,2.2,
86,Radon,Rn,222,136,86,86,6,18,1.3,,cyan
87,Francium,Fr,223,136,87,87,7,1,,0.7,violet
88,Radium,Ra,226,138,88,88,7,2,,0.9,darkgreen
89,Actinium,Ac,227,138,89,89,7,3,,1.1,
90,Thorium,Th,232.038,142,90,90,7,,,1.3,
91,Protactinium,Pa,231.036,140,91,91,7,,,1.5,
92,Uranium,U,238.029,146,92,92,7,,,1.38,lime
93,Neptunium,Np,237,144,93,93,7,,,1.36,
94,Plutonium,Pu,244,150,94,94,7,,,1.28,
95,Americium,Am,243,148,95,95,7,,,1.3,
96,Curium,Cm,247,151,96,96,7,,,1.3,
97,Berkelium,Bk,247,150,97,97,7,,,1.3,
98,Californium,Cf,251,153,98,98,7,,,1.3,
99,Einsteinium,Es,252,153,99,99,7,,,1.3,
100,Fermium,Fm,257,157,100,100,7,,,1.3,
101,Mendelevium,Md,258,157,101,101,7,,,1.3,
102,Nobelium,No,259,157,102,102,7,,,1.3,
103,Lawrencium,Lr,262,159,103,103,7,,,,pink
104,Rutherfordium,Rf,261,157,104,104,7,4,,,pink
105,Dubnium,Db,262,157,105,105,7,5,,,pink
106,Seaborgium,Sg,266,160,106,106,7,6,,,pink
107,Bohrium,Bh,264,157,107,107,7,7,,,pink
108,Hassium,Hs,267,159,108,108,7,8,,,pink
109,Meitnerium,Mt,268,159,109,109,7,9,,,pink
